[2][14][Babcia] Wysyłam prośbę o słoik [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][15][Studentka] Otrzymałam FULL od [0] [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/0]
[3][15][Studentka] Wchodzę do sekcji krytycznej [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/0]
[2][15][Babcia] Otrzymałam FULL od [0] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][16][Studentka] Zabieram konfiturę [sloiki: 0, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[3][17][Studentka] Wysyłam REL do wszystkich (zabrałam to co chciałam i wychodzę z krytycznej) [sloiki: 0, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[3][17][Studentka] Zjadam konfiturę [sloiki: 0, konfitury: 0, has_jar: 0, has_jam: 1, ACK: 0/0]
[3][17][Studentka] Wysłałam EMPTY, oddałam słoik [sloiki: 1, konfitury: 0, has_jar: 1, has_jam: 0, ACK: 0/0]
[0][18][Babcia] Otrzymałam REL od [3] [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/2]
[1][18][Babcia] Otrzymałam REL od [3] [sloiki: 0, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][18][Babcia] Otrzymałam REL od [3] [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][18][Studentka] Wysyłam prośbę o konfiturę [sloiki: 1, konfitury: 0, has_jar: 0, has_jam: 0, ACK: 0/0]
[0][19][Babcia] Otrzymałam FULL od [2] [sloiki: 0, konfitury: 2, has_jar: 0, has_jam: 0, ACK: 0/2]
[1][19][Babcia] Otrzymałam FULL od [0] [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/2]
[2][19][Babcia] Otrzymałam REQ od [0] [sloiki: 0, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/2]
[3][19][Studentka] Otrzymałam FULL od [2] [sloiki: 1, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/0]
[3][19][Studentka] Wchodzę do sekcji krytycznej [sloiki: 1, konfitury: 1, has_jar: 0, has_jam: 0, ACK: 0/0]
