rank,clock,proc_type,message,sloiki,konfitury,has_jar,has_jam,jar_queue,jam_queue,recv_ack,needed_ack
4,11,Studentka,"Otrzymałam REL od [1]",1,0,0,0,"","3:1,4:1,5:1,6:1",3,3
5,11,Studentka,"Otrzymałam REL od [1]",1,0,0,0,"","3:1,4:1,5:1,6:1",3,3
1,10,Babcia,"Wysyłam REL do wszystkich (zabrałam to co chciałam i wychodzę z krytycznej)",1,0,1,0,"2:1","",2,2
6,11,Studentka,"Otrzymałam REL od [1]",1,0,0,0,"","3:1,4:1,5:1,6:1",3,3
4,12,Studentka,"Otrzymałam FULL od [0]",1,1,0,0,"","3:1,4:1,5:1,6:1",3,3
3,12,Studentka,"Otrzymałam FULL od [0]",1,1,0,0,"","3:1,4:1,5:1,6:1",3,3
3,12,Studentka,"Wchodzę do sekcji krytycznej",1,1,0,0,"","3:1,4:1,5:1,6:1",3,3
5,12,Studentka,"Otrzymałam FULL od [0]",1,1,0,0,"","3:1,4:1,5:1,6:1",3,3
6,12,Studentka,"Otrzymałam FULL od [0]",1,1,0,0,"","3:1,4:1,5:1,6:1",3,3
0,7,Babcia,"Wysłałam FULL, mam konfiturę",2,1,0,1,"1:1,2:1","",2,2
2,12,Babcia,"Zabieram słoik",0,0,1,0,"2:1","",2,2
1,10,Babcia,"Rozpoczynam produkcję konfitury",1,0,1,0,"2:1","",2,2
4,14,Studentka,"Otrzymałam REL od [2]",0,1,0,0,"","3:1,4:1,5:1,6:1",3,3
5,14,Studentka,"Otrzymałam REL od [2]",0,1,0,0,"","3:1,4:1,5:1,6:1",3,3
2,13,Babcia,"Wysyłam REL do wszystkich (zabrałam to co chciałam i wychodzę z krytycznej)",0,0,1,0,"","",2,2
6,14,Studentka,"Otrzymałam REL od [2]",0,1,0,0,"","3:1,4:1,5:1,6:1",3,3
3,13,Studentka,"Zabieram konfiturę",1,0,0,1,"","3:1,4:1,5:1,6:1",3,3
2,13,Babcia,"Rozpoczynam produkcję konfitury",0,0,1,0,"","",2,2
